,Title,Document type,Reference Number,Date,Source,Status,Subject,Meeting,Treaty,Website,Field of application,Abstract
1862,Agreement for the Establishment of a Centre on Integrated Rural Development for Asia and the Pacific,Multilateral,No Data,"Jul 29, 1978",IUCN (ID: TRE-001115),No Data,"Food &amp; nutrition, Agricultural &amp; rural development",No Data,No Data,cirdap.org\n          \n            \n            www.fao.org,Regional/restricted,"Objective: To facilitate the promotion and success of integrated rural development programs through regional cooperation.\n          \n            Summary of provisions: The Contracting Parties undertake to establish a Centre on Integrated Rural Development for Asia and the Pacific (art.I.1).  The objectives of the Centre include: providing technical support to Member States, fostering the exchange of ideas and experience and encouraging joint or collaborative activities.  The Centre is also to assist national action and to promote regional cooperation with the aim of improving the production, income and living conditions of small scale farmers and other needy rural groups (art. I.2).  To achieve these objectives, the Centre is to conduct, promote or assist research on various aspects of integrated rural development, to hold consultative conferences, to organise training courses, to provide technical support and to serve as a clearinghouse and data bank for information. (art. I.3)\n          \n            Institutional mechanisms: The Centre is to have a Governing Council consisting of all Member States (art IV and V), an Executive Committee (art. VI) and a Technical Committee (art.VII).  Moreover, the Centre shall have a Director to direct the work of the Centre in accordance with the policy and decisions adopted by the Governing Council, and under the guidance of the Executive Committee (art. VIII).\n          \n            (Source: IUCN ELC, 08.2005)"
1863,Extension of the effect of Minute No 256 relating to the emergency deliveries of Colorado River water for use in Tijuana Minute No 259,Bilateral,No Data,"Jul 27, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152304)",No Data,Water,No Data,No Data,No Data,Regional/restricted,"The effect of Minute No. 256 of 22 February 1977 is extended until 14 August 1979. Mexico shall actively pursue the construction of its aqeduct to supply potable water to the city of Tijuana, with the objective to put it in operation as soon as possible. During the one-year extension the emergency deliveries of Colorado River water may be temporarily suspended, provided that Mexico makes its request ten days in advance of each suspension and of each resumption of the deliveries."
1864,Treaty for Amazonian Cooperation,Multilateral,No Data,"Jul 3, 1978",IUCN (ID: TRE-000515),No Data,"Water, Wild species &amp; ecosystems",No Data,No Data,www.oas.org\n          \n            \n            otca.info,Regional/restricted,"Objective: To promote the harmonious development of the Amazon region and permit equitable distribution of the benefits of such development among the contracting Parties.\n          \n            Summary of provisions: Parties agree to undertake joint action and efforts to promote the harmonious development of their Amazonian territories in such a way that these joint actions produce equitable and mutually beneficial results and achieve the preservation of the environment and the conservation and rational utilisation of the natural resources of those territories.  Parties undertake to guarantee complete freedom of commercial navigation on the Amazon and other international Amazonian rivers on the basis of reciprocity, and to undertake national, bilateral or multilateral measures aimed at improving and making the said rivers navigable. This Agreement declares the sovereign right to the exclusive use of natural resources within the territory of each Party while Parties are to make efforts to achieve rational utilisation of water resources. Scientific research and the exchange of information is to be promoted to ensure that the exploitation of the fauna and flora of the Amazon region is rationally planned so as to maintain the ecological balance within the region and preserve the species. Joint studies and measures are to be encouraged for the rational utilisation of the human and natural resources of the Amazonian territories of the Parties. Transport and communication links among the States of the Amazonian region are to be improved, and retail trade among them, to be promoted. Conservation of the ethnological and archaeological wealth of the Amazon is to be ensured.\n          \n            Institutional mechanisms: The Amazonian Cooperative Council comprising top-level diplomatic representatives is created. It is to meet once a year to supervise the effective implementation of the Treaty under the general guidance of the Ministers for Foreign Affairs.\n          \n            (Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)"
1865,Agreement between the Government of the Republic of Turkey and the Government of the Union of Soviet Republics and the Delimitation of the Continental Shelf between Republic of Turkey and the Governme,Bilateral,No Data,"Jun 23, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148971)",No Data,Sea,No Data,No Data,No Data,Regional/restricted,"In article I of this Agreement the Parties agree on the boundary line which divides the Continental Shelf of the Turkey and Russia in the Black Sea, starting from the terminal point defined in the Protocol between the Parties of 17 April 1973 and following a line in western direction along the co-ordinates listed in Article 1. The boundary is marked on a Chart attached to the Agreement and forming an integrated part of it."
1866,Agreement between the Government of the Kingdom of Thailand and the Government of Republic of India on the delimitation of the seabed boundary between the two countries in the Andaman Sea,Bilateral,No Data,"Jun 22, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148962)",No Data,Sea,No Data,No Data,No Data,Regional/restricted,"This Agreement determines the points which connect straight lines at equidistance between India and Thailand in the Andaman Sea, for purposes of delimitation of the seabed boundary between the two countries. The geographical co-ordinates and straight lines are indicated on a Chart attached to the Agreement. The actual location shall be determined by a method to be mutually agreed upon by the persons indicated for such purpose in article 2. The Agreement contains also a dispute settlement clause."
1867,Treaty between the German Democratic Republic and the Kingdom of Sweden on the Delimitation of the Continental Shelf with Protocol,Bilateral,No Data,"Jun 22, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149124)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"The Parties agree that the boundary line between the continental shelf of the German Democratic Republic and the continental shelf of the Kingdom of Sweden shall be that line of which every point is equidistant from the nearest points of the baselines from which the breadth of the territorial sea of either Contracting Party is measured. In accordance with this principle and with regard to deviations that are necessary for an appropriate and practical boundary line, the boundary shall be drawn as a straight line (geodetic lines) throughout the specified points. The exploitation of natural resources located on the sea-bed or in the subsoil extend on both sides of the boundary of the continental shelf between the two Contracting Parties that are located on the continental shelf of the one Contracting Party can and can be wholly or in part exploited from the continental shelf of the other Contracting Party, shall be subject to negotiations. The provisions of the present Treaty shall in no way affect the legal status of the waters above the continental shelf."
1868,Protocol to the Treaty between the German Democratic Republic and the Kingdom of Sweden on the delimitation of the continental shelf,Bilateral,No Data,"Jun 22, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149127)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,The German Democratic Republic and the Kingdom of Sweden have agreed that the boundary line as determined in Articles 1 and 2 of the Treaty referred to above shall also form the boundary line between the fishing zones of the two States.
1869,Agreement between the Government of the Kingdom of Thailand the Government of the Republic of India and the Government of the Republic of Indonesia on the determination of trijunction point and the de,Multilateral,No Data,"Jun 22, 1978",IUCN (ID: TRE-001989),No Data,Sea,No Data,No Data,No Data,Regional/restricted,"This Agreement determines the trijunction point between Indonesia, India and Thailand in the Andaman Sea and the boundary of the Continental Shelf between India and Indonesia, the seabed boundary between India and India and the seabed boundary between Thailand and Indonesia, which are measured from the trijunction point The geographical co-ordinates and straight lines are indicated on a specified British Admiralty Chart attached to the Agreement. The actual location of co-ordinates shall be determined by a method to be mutually agreed upon by the Competent Authorities indicated for such purpose in comma 7 of article 1. The Agreement contains also a dispute settlement clause ( FAO)"
1870,Agreement between the Government of the Russian Federation and the Government of Poland on coastal fisheries in the Barents Sea,Bilateral,No Data,"May 11, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150681)",No Data,Fisheries,No Data,No Data,www.government.ru,Regional/restricted,The Russian Federation pledges to inform Poland in advance on annual fishing quotas and fishing areas (art. 2).  The authorized bodies of the Russian Federation shall issue fishing authorization to the Polish fishing vessels (art. 3).
1871,Treaty on Maritime Boundaries between the United Mexican States and the United States of America Caribbean Sea and Pacific Ocean,Bilateral,No Data,"May 4, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149163)",No Data,Sea,No Data,No Data,No Data,Regional/restricted,"The Parties agree to establish and recognize as their maritime boundaries in the Gulf of Mexico and in the Pacific Ocean, in addition to those established by the Treaty to Resolve Pending Boundary Differences and Maintain the Rio Grande and Colorado River as the International Boundary between the United Mexican States and the United States of America, signed on November 23, 1970; the geodetic lines connecting the points whose coordinates are indicated in this Agreement. The sole purpose of this Treaty is to establish the location of the maritime boundaries between the United Mexican States and the United States of America. The maritime boundaries established by this Treaty shall not affect or prejudice in any manner the positions of either Party with respect to the extent of internal waters, of the territorial sea, of the high seas or of sovereign rights or jurisdiction for any other purpose."
1872,Kuwait Regional Convention for Cooperation on the Protection of the Marine Environment from Pollution,Multilateral,No Data,"Apr 24, 1978",IUCN (ID: TRE-000537),No Data,Sea,No Data,No Data,www.ropme.net,Regional/restricted,"Objective: To prevent, abate and combat pollution of the marine environment.\n          \n            Summary of provisions: Parties agree to take all appropriate measures to prevent, abate and combat pollution of the marine environment (arts. III-VIII). They undertake to cooperate in taking necessary measures to deal with pollution emergencies (art. IX), in scientific and technical research relating to marine pollution (arts. X-XII) and in establishing appropriate roles and procedures for the determination of civil liability and compensation for damage related to the subject-matter of the Convention (art. XIII)."
1873,Protocol Concerning Regional Cooperation in Combating Pollution by Oil and other Harmful Substances in Cases of Emergency,Multilateral,No Data,"Apr 24, 1978",IUCN (ID: TRE-000107),No Data,"Sea, Waste &amp; hazardous substances",No Data,No Data,www.ropme.net,Regional/restricted,"Objective: To enhance existing measures for responding to pollution emergencies.\n          \n            Summary of provisions: The Parties undertake to cooperate in maintaining and promoting their contingency plans and means for combating pollution and protecting the coastline and related interests (art. II). Each Contracting Party agrees to inform the other Parties and the Marine Emergency Mutual Aid Centre of its relevant legislation, contingency plans and technical research and developments (arts. V- VIII). Any Party faced with a marine emergency is to make an assessment of the nature and extent of the emergency, take appropriate measures to combat pollution and inform the other Parties of the measures it has taken or intends to take (art. X). Any Party may call for assistance from the others and from the Centre (art. XI).\n          \n            Institutional mechanisms: A Marine Emergency Mutual Aid Centre is established (art. III). Each Party is to establish and maintain an appropriate authority to carry out its obligations under this Protocol (art. XII).\n          \n            (Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)"
1874,United Nations Convention of the Carriage of Goods by Sea,Multilateral,No Data,"Mar 31, 1978",IUCN (ID: TRE-000807),No Data,"Sea, Waste &amp; hazardous substances",No Data,No Data,www.un.org\n          \n            \n            treaties.un.org,Global,"Objectives: To determine certain rules relating to the carriage of goods by sea. Summary of provisions: The Convention was adopted in the framework of the United Nations Organisation. Part I of the Convention  defines the terms covered by it and the scope of its application. Part II concerns the liability of the carrier including, inter alia the period, the basis, and the limits of his responsibility. Articles 10 and 11 deal with the liability of the carrier and actual carrier, and with through carriage. Part III provides for the liability of the shipper, specially in cases when dangerous goods are carried. Part IV concerns issuing, content and evidentiary effect of transport documents, including bills of lading issued by the carrier and guarantees given by the shipper. Part V deals with claims and actions following loss or damage to the goods carried by sea, or delay in their delivery. Claims may be submitted either to judicial action or to arbitration."
1875,Maritime Boundary Treaty between the United States of America and the Republic of Venezuela,Bilateral,No Data,"Mar 28, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149166)",No Data,Sea,No Data,No Data,No Data,Regional/restricted,"The sole purpose of this Treaty is to establish, in accordance with international law, the maritime boundary between the United States of America and the Republic of Venezuela. This boundary between the United States of America and Venezuela is determined by the geodetic lines connecting points 1-22, having coordinates specified in article 2. It is understood by the two Governments that south of the maritime boundary the United States of America shall not, and north of the maritime boundary the Republic of Venezuela shall not, for any purpose, claim or exercise sovereign rights or jurisdiction over the waters or sea-bed and subsoil. The establishment of this maritime boundary does not affect or prejudice in any manner the positions of either Government with respect to the sovereign rights or jurisdiction of either State, the rules of international law concerning the exercise of jurisdiction over the waters or sea-bed and subsoil, or any other matter relating to the law of the sea."
1876,Fisheries Agreement between the Government of New Zealand and the Government of the Republic of Korea,Bilateral,No Data,"Mar 16, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149199)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"An Agreement to allow fishing by Korean vessels in areas under New Zealand fisheries jurisdiction, being the New Zealand Exclusive Economic Zone. The Agreement provides also for the allocation of an appropriate part of the total allowable catch of in surplus of the harvesting capacity of New Zealand to Korean  vessels (art. III) and for various other rights and duties of the Parties in relation to management and conservation of New Zealand fishing resources (arts. V, VIII and IX). Article IV sets out duties of Korea with regard to activities by its vessels. Article VII concerns measures by Korea against hunting for marine mammals."
1877,Acuerdo sobre delimitacixc3xb3n de xc3xa1reas marinas y submarinas y cooperacixc3xb3n marxc3xadtima entre la Repxc3xbablica Dominicana y la Repxc3xbablica de Colombia,Bilateral,No Data,"Feb 17, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152865)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,No Data
1878,Acuerdo sobre Delimitacixc3xb3n de xc3xa1reas marinas y submarinas entre la Repxc3xbablica de Colombia y la Repxc3xbablica de Haitxc3xad,Bilateral,No Data,"Feb 17, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152862)",No Data,Sea,No Data,No Data,No Data,Regional/restricted,No Data
1879,International Convention for the Prevention of Pollution from Ships - Annex IV : Sewage,Multilateral,No Data,"Feb 17, 1978",IUCN (ID: TRE-000988),No Data,"Waste &amp; hazardous substances, Sea",No Data,No Data,www.imo.org,Global,"Objectives: To add an (Optional) Annex to the 1973 International Convention for the Prevention of Pollution from Ships (MARPOL) in regards of sewage. Summary of provisions: The Annex was adopted in the framework of the International Maritime Organisation (IMO), and sets Regulations for the prevention of pollution by sewage from ships. It is to apply to ships as defined in Regulations 1 and 2. Parties agree that an International Sewage Pollution Prevention Certificate (1973) is to be issued after survey in accordance with the provisions of Regulation 3 to any ship which is engaged in voyages to ports or offshore terminals under the jurisdiction of other Parties to the Convention (Regulation 4). No such Certificate is to be issued to a ship entitled to fly the flag of a non-Party State (Regulation 5). Following Regulations deal with the form of the Certificate and with its duration. Parties also agree that the discharge of sewage into the sea is prohibited, except in cases defined in Regulations 8 and 9. Finally, Parties undertake to ensure the provision of facilities at ports and terminals for the reception of sewage, without causing undue delay to ships, and notify the IMO of all cases where the facilities provided are alleged to be inadequate to meet the needs of the ships using them."
1880,International Convention for the Prevention of Pollution from Ships MARPOL as modified by the Protocol of 1978 MARPOL 7378,Multilateral,No Data,"Feb 17, 1978",IUCN (ID: TRE-000112),No Data,"Waste &amp; hazardous substances, Sea",No Data,No Data,www.imo.org,Global,"The 1978 Protocol modifies various provisions of the 1973 London Convention, and in particular of its annex I. It also postpones the entry into force of annex II of the Convention for a period of at least three years. The provisions of the Convention and the Protocol are to be read and interpreted together as one single instrument (art. I.1 and I.2).\n          \n            (Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)"
1881,"Protocol of 1978 relating to the International Convention for the Safety of Life at Sea, 1974",Multilateral,No Data,"Feb 17, 1978",IUCN (ID: TRE-000109),No Data,Sea,No Data,No Data,www.imo.org,Global,"Objectives: To improve further the safety of ships, particularly tankers. Summary of provisions: The Protocol was adopted under the SOLAS Convention in the framework of the International Maritime Organisation (IMO). Regulations of Chapter I are amended to provide for, inter alia, inspections and surveys of ships and passenger ships, surveys of life-saving appliances and other equipment of cargo ships for the purpose of ensuring that they comply fully with the requirements of the Convention and the Protocol and, where applicable, the International Regulations for Preventing Collision at Sea in force, surveys of hull, machinery and equipment of cargo ships, including intermediate surveys of tankers of ten years of age and over, and maintenance of conditions after surveys. Regulations of Chapter II are amended to, inter alia, add definitions, apply regulations relating to machinery and electrical installations to tankers, and modify existing fire safety measures and cargo tank protection measures to include \'new tankers\' as defined in the Protocol. Finally, Chapter V is amended to modify provisions relating to shipborne navigational equipment, use of the automatic pilot, operation of steering gear in areas where navigation demands special caution, and steering gear for testing and drilling."
1882,Fisheries Agreement between the Government of the Russian Federation and the Government of Romania,Bilateral,No Data,"Feb 3, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150684)",No Data,Fisheries,No Data,No Data,www.government.ru,Regional/restricted,The purpose of the present Fisheries Agreement shall be to carry out joint arrangements for increasing output of fish and fish products (art. 1). The Parties have agreed to set up joint Fisheries Commission for the implementation of the present Fisheries Agreement (art. 2). Joint Fisheries Commission shall carry out the following functions: (a) elaboration of joint arrangements in the field of fisheries; (b) exchange of experience in the field of fish farming and fish processing; (c) joint fisheries in the World Ocean; (art. 3).
1883,Agreement between the Government of the Union of the Soviet Socialist Republics and the Government of the Kingdom of Norway on joint control of marine fisheries,Bilateral,No Data,"Jan 11, 1978","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149745)",No Data,Fisheries,No Data,No Data,www.vcom.ru,Regional/restricted,"The Parties agree that the total allowable catch in the contiguous area of the Sea of Barents adjoining continental coast of Norway and Russia must be used mostly in equal quotas by the Kingdom of Norway and by the Union of the Soviet Socialist Republics, while a share of catch shall be distributed to the third countries by mutual consultation. The total allowable catch in the aforesaid marine area shall be set by the Joint Commission. Foreign fishing shall be allowed in the presence of fishing authorization issued by the Government of the USSR or by the Government of the Kingdom of Norway."
1884,Agreement on the Joint Regulations on Fauna and Flora,Multilateral,No Data,"Dec 3, 1977",IUCN (ID: TRE-000101),No Data,"Fisheries, Water, Wild species &amp; ecosystems",No Data,No Data,No Data,Regional/restricted,No Data
1885,Agreement between the Land BadenWxc3xbcrttemberg and the Swiss Confederation on fishing in Untersee and Seerhein,Bilateral,No Data,"Nov 2, 1977","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-151605)",No Data,Fisheries,No Data,No Data,www.baden-wuerttemberg.de,Regional/restricted,"The present Agreement between the Land Baden-W\xc3\xbcrttemberg and the Swiss Confederation concerns fishing in Untersee and Seerhein, both part of Lake Constance. The Agreement consists of 42 articles divided into 7 Parts as follows: Sphere of application (I); Fishing rights (2); Practice of fishing (3); Protection of fish stock, management, monitoring of fisheries (4); Entitled persons, fishing commission (5); Penalties (6); Transitional and final provisions (7). One Annex is enclosed."
1886,Accord entre la Rxc3xa9publique dHaiti et la Rxc3xa9publique de Cuba sur la dxc3xa9limitation des frontixc3xa8res maritimes entre les deux Etats,Bilateral,No Data,"Oct 27, 1977","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-153000)",No Data,Sea,No Data,No Data,No Data,Regional/restricted,No Data
1887,Agreement between the Russian Federation and the Government of Mongolia on scientific and technical cooperation in the sphere of study of the upper layers of the atmosphere,Bilateral,No Data,"Oct 11, 1977","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150405)",No Data,Air &amp; atmosphere,No Data,No Data,www.vcom.ru,Regional/restricted,The cooperation between the Parties shall have as its purpose: (a) setting up on the territory of Mongolia a joint station of rocket sounding of the atmosphere; (b) joint research and experimentation; (c) exchange of scientific and technical information (art. 1). The Parties shall set up joint rocket sounding station on the territory of Mongolia for the purpose of study of the upper layers of the atmosphere for the following purposes: (a) to obtain information regarding the atmospheric parameters; (b) study of ozone layers (art. 2).
1888,Accord portant crxc3xa9ation de lorganisation pour lamxc3xa9nagement et le dxc3xa9veloppement du Bassin de la Rivixc3xa8re Kagera,Multilateral,No Data,"Aug 24, 1977",IUCN (ID: TRE-001974),No Data,Water,No Data,No Data,No Data,Regional/restricted,No Data
1889,Protocol between the Government of the Republic of Turkey and the Government of Georgia on the Confirmation of the Maritime Boundaries between them in the Black Sea,Bilateral,No Data,"Jul 14, 1977","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-150156)",No Data,Sea,No Data,No Data,www.un.org,Regional/restricted,"In this Protocol the Parties confirm the maritime boundaries between them through their commitment to the following agreements concluded between the former Union of Soviet Socialist Republics and the Republic of Turkey: Protocol between the Government of the Republic of Turkey and the Government of the Union of Soviet Socialist Republics concerning the establishment of the Maritime Boundary between the Soviet and Turkish Territorial Waters in the Black Sea, signed on 17 April 1973; Agreement between the Government of the Republic of Turkey and the Government of the Union of Soviet Socialist Republics concerning the delimitation of the Continental Shelf between them in the Black Sea, signed on 23 June 1978; Protocols and other relevant documents between the Government of the Republic of Turkey and the Government of the Union of Soviet Socialist Republics concerning the demarcation of the Maritime Boundary, signed on 11 September 1980; Exchange of Letters between the Government of the Republic of Turkey and the Government of the Union of Soviet Socialist Republics dated subsequently 23 December 1986 and 6 February 1987 confirming the exclusive economic zone frontier as the previously delimited continental shelf frontier, and other existing related delimitation Agreements concluded between the Government of the Republic of Turkey and the Government of the Union of Soviet Socialist Republics, have agreed to confirm, in accordance with the foregoing legal instruments, the maritime boundaries between the Turkish and Georgian territorial waters in the Black Sea."
1890,Agreement between Iraq and Yemen concerning fishing in the territorial waters of Yemen,Bilateral,No Data,"Jul 4, 1977","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-149334)",No Data,"Fisheries, Sea",No Data,No Data,No Data,Regional/restricted,"This Agreement is composed of 11 articles. The Yemeni General Authority grants to the Iraqi General Board the right to fish in the Territorial Waters of Yemen from the date of signature of the Agreement (art. 1). The two Parties shall establish an Operation Joint Committee (art. 2). The Iraqi General Board, according to this Agreement, shall give to Yemen  35 percent of their fish or fish products in exchange of the permission to fish in their waters (art. 3). The Iraqi General Board shall not throw any poisonous small fish in the Yemeni Territorial Waters (art. 4). The Iraqi General Board shall employ at least 40 percent of Yemeni employees on their vessels (art. 5). The Iraqi Board shall pay compensation for damage of local angler\xc2\x92s equipment (art. 8). The Iraqi Board shall present fishing programmes to the Joint Committee to be approved before starting any fishing operations (art. 9). Dispute settlement (art. 10)."
1891,"Convention concerning the Protection of Workers against Occupational Hazards in the Working Environment due to Air Pollution, Noise and Vibration ILO No 148",Multilateral,No Data,"Jun 20, 1977",IUCN (ID: TRE-000439),No Data,"Air &amp; atmosphere, Agricultural &amp; rural development",No Data,No Data,www.ilo.org,Global,"Objectives: To protect workers against occupational hazards in the working environment.\n          \n            Summary of provisions: (a) Applies to all branches of economic activity, except where special problems of a substantial nature exist (art. 1); (b) Parties may accept the obligations of this Convention separately in respect of air pollution, noise and vibration (art. 2); (c) Measures to be taken for the prevention and control of, and protection against, occupational hazards in the working environment due to air pollution, noise and vibration shall be prescribed by national laws and regulations (art. 4); (d) Criteria for determining the hazards of exposure to air pollution, noise and vibration in the working environment and exposure limits on the basis of these criteria shall be established by the competent authority (art. 8).\n          \n            (Source: UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 2005)"
1892,Protocol amending the Benelux Convention on the Hunting and Protection of Birds,Multilateral,No Data,"Jun 10, 1977",IUCN (ID: TRE-000760),No Data,Wild species &amp; ecosystems,No Data,No Data,www.benelux.int,Regional/restricted,No Data
1893,Fisheries Cooperation Agreement between the Government of the Republic of Chile and the Government of the Kingdom of Spain,Bilateral,No Data,"Jun 7, 1977","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152901)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"An Agreement to grant fishing licences to Spanish vessels in Chilean waters and to guarantee technical and other support by Spain fort the benefit of the Chilean fishing efforts.The Agreement is divided into 5 Sections: Scientific and technical cooperation (1); Fishing licences (2); Joint Spanish-Chilean fishing companies (3); economic cooperation (4); Validity and notice of termination (5).Article I concerns cooperation in the development of initiatives and programmes for the conservation and ""sound"" exploitation of fisheries resources. Other Articles of Section I concern scholarships for Chilean citizens and consultation between the Parties. The Government of Chile shall grant fishing licences for Spanish vessels to fish in specified waters for surplus stocks of fish existing at any time, up to coverage of the estimated maximum sustainable yield for the fisheries for which the licences are requested. Granting of licences and fishing shall be subject to rules set out in Articles IV to XIII. In no case the licences granted shall hamper or impede fishing efforts of Chilean fishermen."
1894,Agreement between the Hellenic Republic and the Italian Republic on the delimitation of the respective continental shelf areas of the two States,Bilateral,No Data,"May 24, 1977","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-148917)",No Data,"Sea, Mineral resources",No Data,No Data,untreaty.un.org,Regional/restricted,"The Agreement establishes the boundary line between the continental shelf areas of Italy and Greece, in accordance with the principle of the median line. The boundary line is demarcated by the arcs of a great circle which join the points listed out in article I, paragraph 1 of the Agreement. Furthermore, the mentioned boundary line shall be drawn by taking into account the nautical maps referred to in article I, paragraph 2. Article II regards mineral deposits and other natural resources existing on both sides of the boundary line hereby defined. In addition, the Contracting Parties shall undertake all possible measures to ensure that the exploration of their respective continental shelf areas and the exploitation of related natural resources do not adversely affect the ecological balance. Article IV concerns the settlement of disputes that may arise relating to the interpretation or application of this Agreement. Priority shall be given to the diplomatic channel. In case of failure of the latter, the dispute may be submitted by either Contracting Party to the International Court of Justice or to any other international body chosen by mutual consent."
1895,Convention on the Prohibition of Military or any other Hostile Use of Environmental Modification Techniques,Multilateral,No Data,"May 18, 1977",IUCN (ID: TRE-000140),No Data,Environment gen.,No Data,No Data,www.un.orghttps,Global,"OBJECTIVE: To effectively prohibit military or any other hostile use of environmental modifications techniques in order to eliminate the dangers to mankind from such use. Summary of provisions: Each State Party to this Convention undertakes to not engage in military or any other hostile use of environmental modification techniques having widespread, long lasting or severe effects as the means of destruction, damage or injury to any other State Party (art. I.1).   The term environmental modification techniques  is defined in Article II. The Convention does not hinder the use of environmental modification techniques for peaceful purposes, and State Parties undertake to facilitate, and have the right to participate, in the exchange of information on the use of these techniques for peaceful purposes (art. III).  Each Party agrees to take any measures it considers necessary to prohibit or prevent any activity in violation of the Convention anywhere under its jurisdiction or control (art. IV).  The Parties undertake to consult one another and to cooperate in solving any problems which may arise in the provisions of the Convention (art. V.1). For this purpose, the Depositary is to convene a Consultative Committee of Experts (art. V.2 and annex). Institutional mechanisms: Any Party which has reason to believe that any other State Party is acting in breach of its obligations may lodge a complaint with the Security Council of the United Nations (art. V.3-5). Five years after the entry into force of the Convention, a conference of the State Parties is to be convened to review the operation of the Convention. Thereafter, a majority of the State Parties may obtain the convening of a conference with the same objectives (art. VIII). (Source: IUCN ELC, 08.2005)"
1896,Agreement between the Government of Canada and the Government of the Republic of Cuba on Mutual Fisheries Relations,Bilateral,No Data,"May 12, 1977","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-152904)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,"The Government of Canada and the Government undertake to ensure close cooperation between the two countries in matters regarding conservation and utilisation of living resources of the sea. Canada shall grant access to fishing vessels of Cuba in the territorial waters and fishing zones off the Atlantic coast for allotments, as appropriate, of parts of the total allowable catch surplus to Canadian harvesting capacity in accordance with provisions of paragraphs 2 and 3 of this Article. Paragraph 2 sets out criteria in accordance which Canada determine annually the total allowable catch for individual catch, Canadian harvesting capacity in respect of such stocks, and, after consultation, allotments for Cuban vessels. Article IV provides for access to Canadian ports for vessels of Cuba. Article V defines the responsibility for and conservation of anadromous stocks."
1897,Convention on Civil Liability for Oil Pollution Damage resulting from Exploration for and Exploitation of Seabed Mineral Resources,Multilateral,No Data,"May 1, 1977",IUCN (ID: TRE-000434),No Data,"Waste &amp; hazardous substances, Mineral resources, Sea",No Data,No Data,www.fco.gov.uk\n          \n            \n            treaties.fco.gov.uk,Regional/restricted,"Objective: To ensure that adequate compensation is available to victims of pollution damage resulting from offshore activities.\n          \n            Summary of provisions: The damage must originate beyond the coastal low-water line of a State Party, and be suffered in the territory, including the internal and territorial waters, of such a State, or in the areas in which it has sovereign rights over natural resources (art. 2). Liability rests on the operator of the installation from which such damage originates and extends five years after the abandonment of such installation as defined by the Convention (art. 3). The operator is to be exonerated, wholly or in part, if he can prove the damage was caused by an act or omission of the victim with the intent to cause damage, or by the victim s negligence. Liability of the operator is limited for each installation and each incident, unless damage caused by deliberate act of the operator himself (art. 6). Parties that are operators of a polluting installation undertake to waive all defences based on sovereignty (art. 13).\n          \n            (Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)"
1898,Reglamento Interno de la Comisixc3xb3n Txc3xa9cnica Mixta del Frente Marxc3xadtimo,Bilateral,No Data,"Apr 27, 1977","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-151695)",No Data,Fisheries,No Data,No Data,No Data,Regional/restricted,No Data
